effectsizeID,study,author,year,study_id,comparison_id,comparison,drug_class,duration,potency,outcome,test_direction,cog_domain_lezak,data_format,g,st_err,quality
53,Beers 05_2414,Beers,2005,5,9,Amantadine v Control,Antiparkinson,Current + long-term,Low,TOL-3: # sec,Negative,Executive Function,Independent,-7.42E-02,0.55918966,3
54,Beers 05_2414,Beers,2005,5,10,Amantadine v Control,Antiparkinson,Current + long-term,Low,Tower of London (TOL)-1: # moves,Negative,Executive Function,Independent,-0.533385602,0.568703382,3
55,Beers 05_2414,Beers,2005,5,11,Amantadine v Control,Antiparkinson,Current + long-term,Low,Trail Making Test: Trails A sec,Negative,Attention,Independent,0.695635893,0.575406914,3
56,Beers 05_2414,Beers,2005,5,12,Amantadine v Control,Antiparkinson,Current + long-term,Low,Trail Making Test: Trails B sec,Negative,Attention,Independent,0.31958347,0.562502832,3
57,Beers 05_2414,Beers,2005,5,13,Amantadine v Control,Antiparkinson,Current + long-term,Low,WCST: # categories,Positive,Concept Formation & Reasoning,Independent,-0.417000802,0.564950693,3
58,Beers 05_2414,Beers,2005,5,14,Amantadine v Control,Antiparkinson,Current + long-term,Low,WCST: # errors,Negative,Concept Formation & Reasoning,Independent,-0.081528776,0.55922882,3
59,Beers 05_2414,Beers,2005,5,15,Amantadine v Control,Antiparkinson,Current + long-term,Low,WCST: % Perseverative Errors,Negative,Concept Formation & Reasoning,Independent,-0.440282286,0.565629678,3
60,Beers 05_2414,Beers,2005,5,16,Amantadine v Control,Antiparkinson,Current + long-term,Low,WCST: Failure to Maintain Set,Negative,Concept Formation & Reasoning,Independent,-0.161488443,0.559896634,3
61,Beers 05_2414,Beers,2005,5,17,Amantadine v Control,Antiparkinson,Current + long-term,Low,WISC-III: Mazes Subscale,Negative,Executive Function,Independent,-0.296073411,0.562007775,3
62,Bender 04_2974,Bender,2004,6,1,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Commissions,Negative,Attention,Independent,0.280134747,0.311523523,6
63,Bender 04_2974,Bender,2004,6,2,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Detectability,Positive,Attention,Independent,-0.393796205,0.313056553,6
64,Bender 04_2974,Bender,2004,6,3,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Hit Reaction Time,Negative,Attention,Independent,-1.17E-02,0.309947847,6
65,Bender 04_2974,Bender,2004,6,4,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Hit Reaction Time Block,Negative,Attention,Independent,-0.251649985,0.31121947,6
66,Bender 04_2974,Bender,2004,6,5,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Hit Reaction Time Interstimulus Interval Change,Negative,Attention,Independent,-4.05E-02,0.309978156,6
67,Bender 04_2974,Bender,2004,6,6,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Omissions,Negative,Attention,Independent,-0.302437802,0.311784092,6
68,Bender 04_2974,Bender,2004,6,7,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Perseverations,Negative,Attention,Independent,-0.209869885,0.310831995,6
69,Bender 04_2974,Bender,2004,6,8,Loratadine vs Placebo,Respiratory,Current + acute,Low,CPT: Variability,Negative,Attention,Independent,-0.073472132,0.310053929,6
70,Bender 04_2974,Bender,2004,6,9,Loratadine vs Placebo,Respiratory,Current + acute,Low,CVLT: Delayed Recall,Positive,Memory,Independent,0.178306374,0.310585538,6
71,Bender 04_2974,Bender,2004,6,10,Loratadine vs Placebo,Respiratory,Current + acute,Low,CVLT: Total,Positive,Memory,Independent,0.289121711,0.311626145,6
72,Bender 91_2708,Bender,1991,7,1,Theophylline v Control,Respiratory,Current + acute,Low,CPT: Commissions (errors),Negative,Attention,Independent,0.074801722,0.271208466,2
73,Bender 91_2708,Bender,1991,7,2,Theophylline v Control,Respiratory,Current + acute,Low,CPT: Commissions (errors),Negative,Attention,Independent,-0.107641503,0.271296117,2
74,Bender 91_2708,Bender,1991,7,3,Theophylline v Control,Respiratory,Current + long-term,Low,CPT: Commissions (errors),Negative,Attention,Independent,0.257244947,0.272093409,2
75,Bender 91_2708,Bender,1991,7,4,Theophylline v Control,Respiratory,Current + long-term,Low,CPT: Commissions (errors),Negative,Attention,Independent,0.239000625,0.271961337,2
76,Bender 91_2708,Bender,1991,7,5,Theophylline v Control,Respiratory,Current + acute,Low,CPT: Omissions (errors),Negative,Attention,Independent,0.513976092,0.274965859,2
77,Bender 91_2708,Bender,1991,7,6,Theophylline v Control,Respiratory,Current + acute,Low,CPT: Omissions (errors),Negative,Attention,Independent,-0.031467924,0.271141078,2
78,Bender 91_2708,Bender,1991,7,7,Theophylline v Control,Respiratory,Current + long-term,Low,CPT: Omissions (errors),Negative,Attention,Independent,1.048930801,0.286778336,2
79,Bender 91_2708,Bender,1991,7,8,Theophylline v Control,Respiratory,Current + long-term,Low,CPT: Omissions (errors),Negative,Attention,Independent,0.608379865,0.276490748,2
80,Carlson 92_2185,Carlson,1992,8,1,Lithium v Placebo,Antipsychotic,Current + acute,Low,CPT: Commissions,Negative,Attention,Paired,0.270547121,0.503009269,4
81,Carlson 92_2185,Carlson,1992,8,2,Lithium v Placebo,Antipsychotic,Current + long-term,Low,CPT: Commissions,Negative,Attention,Paired,-8.07E-02,0.500636335,4
82,Carlson 92_2185,Carlson,1992,8,3,Lithium v Placebo,Antipsychotic,Current + acute,Low,CPT: Omissions,Negative,Attention,Paired,0.369547882,0.505253931,4
83,Carlson 92_2185,Carlson,1992,8,4,Lithium v Placebo,Antipsychotic,Current + long-term,Low,CPT: Omissions,Negative,Attention,Paired,0.266638768,0.502934729,4
84,Carlson 92_2185,Carlson,1992,8,5,Lithium v Placebo,Antipsychotic,Current + acute,Low,MFFT: Errors,Negative,Executive Function,Paired,0.247726067,0.502589208,4
85,Carlson 92_2185,Carlson,1992,8,6,Lithium v Placebo,Antipsychotic,Current + long-term,Low,MFFT: Errors,Negative,Executive Function,Paired,0.553448174,0.511217811,4
86,Carlson 92_2185,Carlson,1992,8,7,Lithium v Placebo,Antipsychotic,Current + acute,Low,Paired Associate Learning Paradigm (PAL): Correct per min,Positive,Memory,Paired,-0.876045094,0.527079973,4
87,Carlson 92_2185,Carlson,1992,8,8,Lithium v Placebo,Antipsychotic,Current + long-term,Low,Paired Associate Learning Paradigm (PAL): Correct per min,Positive,Memory,Paired,0.558914507,0.511430164,4
88,Carlson 92_2185,Carlson,1992,8,9,Lithium v Placebo,Antipsychotic,Current + acute,Low,Paired Associate Learning Paradigm (PAL): Errors per min,Negative,Memory,Paired,-0.74893617,0.52003512,4
89,Carlson 92_2185,Carlson,1992,8,10,Lithium v Placebo,Antipsychotic,Current + long-term,Low,Paired Associate Learning Paradigm (PAL): Errors per min,Negative,Memory,Paired,0.508541212,0.509549223,4
90,Chen 01_2781,Chen,2001,9,1,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,WISC-R: FSIQ,Positive,Intelligence,Paired,9.87E-02,0.278575078,5
91,Chen 01_2781,Chen,2001,9,2,Carbamazepine v Withdrawal,Antiepileptic,Current + long-term,Low,WISC-R: FSIQ,Positive,Intelligence,Paired,-0.125316707,0.278682059,5
92,de Graaf 11_185,de Graaf,2011,10,1,Morphine v Placebo,Opioid analgesic,Historical,Low,Beery VMI: VMI,Positive,Psychomotor Functioning,Independent,-0.341421996,0.212367313,7
93,de Graaf 11_185,de Graaf,2011,10,2,Morphine v Placebo,Opioid analgesic,Historical,Low,RAKIT: IQ,Positive,Intelligence,Independent,-0.417035595,0.213124529,7
94,de Graaf 13_1235,de Graaf,2013,11,1,Morphine v Placebo,Opioid analgesic,Historical,Low,Beery-Buktenica: VMI,Positive,Psychomotor Functioning,Independent,-0.247557003,0.223847614,5
95,de Graaf 13_1235,de Graaf,2013,11,2,Morphine v Placebo,Opioid analgesic,Historical,Low,CNTAB: reaction Time (RTI-1),Negative,Attention,Independent,-0.264858552,0.234569198,5
96,de Graaf 13_1235,de Graaf,2013,11,3,Morphine v Placebo,Opioid analgesic,Historical,Low,CNTAB: reaction Time (RTI-5),Negative,Attention,Independent,-0.106374014,0.233696673,5
97,de Graaf 13_1235,de Graaf,2013,11,4,Morphine v Placebo,Opioid analgesic,Historical,Low,Intra/extra Dimensional Set Shift: Stages,Positive,Concept Formation & Reasoning,Independent,0.624909722,0.234682703,5
98,de Graaf 13_1235,de Graaf,2013,11,5,Morphine v Placebo,Opioid analgesic,Historical,Low,Intra/extra Dimensional Set Shift: Trials,Negative,Concept Formation & Reasoning,Independent,0.208660036,0.229701582,5
99,de Graaf 13_1235,de Graaf,2013,11,6,Morphine v Placebo,Opioid analgesic,Historical,Low,RVP-A,Positive,Executive Function,Independent,0.208354807,0.225127581,5
100,de Graaf 13_1235,de Graaf,2013,11,7,Morphine v Placebo,Opioid analgesic,Historical,Low,Spatial Span: SSP-backward,Positive,Attention,Independent,8.94E-04,0.229068902,5
101,de Graaf 13_1235,de Graaf,2013,11,8,Morphine v Placebo,Opioid analgesic,Historical,Low,Spatial Span: SSP-forward,Positive,Attention,Independent,-6.96E-04,0.227397873,5
102,de Graaf 13_1235,de Graaf,2013,11,9,Morphine v Placebo,Opioid analgesic,Historical,Low,Stockings of Cambridge,Positive,Executive Function,Independent,0.177140268,0.227851329,5
103,de Graaf 13_1235,de Graaf,2013,11,10,Morphine v Placebo,Opioid analgesic,Historical,Low,Stop Signal Test: Delay,Positive,Executive Function,Independent,0.256174718,0.238258427,5
104,de Graaf 13_1235,de Graaf,2013,11,11,Morphine v Placebo,Opioid analgesic,Historical,Low,Stop Signal Test: Reaction Time,Negative,Executive Function,Independent,-0.228427652,0.238056786,5
105,de Graaf 13_1235,de Graaf,2013,11,12,Morphine v Placebo,Opioid analgesic,Historical,Low,WISC-III: IQ,Positive,Intelligence,Independent,-0.10712538,0.223142354,5
106,Donati 07_2459,Donati,2007,12,1,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Binary Choice RT,Negative,Attention,Paired,0.139984642,0.273513602,4
107,Donati 07_2459,Donati,2007,12,2,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,CVST,Negative,Perception,Paired,0.201461855,0.273882326,4
108,Donati 07_2459,Donati,2007,12,3,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,FTT (dom. hand),Positive,Psychomotor Functioning,Paired,-0.116606019,0.273408139,4
109,Donati 07_2459,Donati,2007,12,4,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,FTT (non. dom. hand),Positive,Psychomotor Functioning,Paired,-5.86E-02,0.273229364,4
110,Donati 07_2459,Donati,2007,12,5,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Memory and Learning: Figure Recognition,Positive,Attention,Paired,-0.492146597,0.282716696,4
111,Donati 07_2459,Donati,2007,12,6,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Memory and Learning: Word Recognition,Positive,Attention,Paired,-0.15518797,0.290280011,4
112,Donati 07_2459,Donati,2007,12,7,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Rey AVLT: Delayed Recall,Positive,Memory,Paired,-0.067882289,0.278482903,4
113,Donati 07_2459,Donati,2007,12,8,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Rey AVLT: Immediate Recall,Positive,Memory,Paired,5.51E-02,0.278454718,4
114,Donati 07_2459,Donati,2007,12,9,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Visual Reaction Time (dom. hand),Negative,Attention,Paired,6.38E-02,0.273240655,4
115,Donati 07_2459,Donati,2007,12,10,Carbamazepine v Baseline,Antiepileptic,Current + long-term,Low,Visual Reaction Time (non. dom. hand),Negative,Attention,Paired,-5.30E-02,0.273218438,4
116,Donati 07_2459,Donati,2007,12,11,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Binary Choice RT,Negative,Attention,Paired,0.113807336,0.204766298,4
117,Donati 07_2459,Donati,2007,12,12,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,CVST,Positive,Perception,Paired,-0.309449591,0.205839012,4
118,Donati 07_2459,Donati,2007,12,13,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,FTT (dom. hand),Positive,Psychomotor Functioning,Paired,1.81E-02,0.204602281,4
119,Donati 07_2459,Donati,2007,12,14,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,FTT (non. dom. hand),Positive,Psychomotor Functioning,Paired,-0.058774851,0.204642902,4
120,Donati 07_2459,Donati,2007,12,15,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Memory and Learning: Figure Recognition,Positive,Attention,Paired,-0.385709961,0.206522841,4
121,Donati 07_2459,Donati,2007,12,16,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Memory and Learning: Word Recognition,Positive,Attention,Paired,-0.173569482,0.204989241,4
122,Donati 07_2459,Donati,2007,12,17,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Rey AVLT: Delayed Recall,Positive,Memory,Paired,-9.30E-02,0.20471036,4
123,Donati 07_2459,Donati,2007,12,18,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Rey AVLT: Immediate Recall,Positive,Memory,Paired,9.60E-02,0.204717724,4
124,Donati 07_2459,Donati,2007,12,19,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Visual Reaction Time (dom. hand),Negative,Attention,Paired,0.160476915,0.20493249,4
125,Donati 07_2459,Donati,2007,12,20,Oxcarbazepine v Baseline,Antiepileptic,Current + long-term,Low,Visual Reaction Time (non. dom. hand),Negative,Attention,Paired,8.82E-02,0.204699013,4
126,Erickson 84_3532,Erickson,1984,13,1,Thioridazine/Thiothixene v Baseline,Antipsychotic,Current + long-term,High,CPT: Commissions (errors),Negative,Attention,Paired,0.207325098,0.411397987,3
127,Erickson 84_3532,Erickson,1984,13,2,Thioridazine/Thiothixene v Baseline,Antipsychotic,Current + long-term,High,CPT: Omissions (errors),Negative,Attention,Paired,-0.510190969,0.417357393,3
128,Erickson 84_3532,Erickson,1984,13,3,Thioridazine/Thiothixene v Baseline,Antipsychotic,Current + long-term,High,CPT: Reaction Time,Negative,Attention,Paired,-1.153267095,0.371371353,3
129,Eun 12_2886,Eun,2012a,14,1,Carbamazepine vs Baseline,Antiepileptic,Current + long-term,Low,K-WISC-III: FSIQ,Positive,Intelligence,Paired,0.288512081,0.156504481,5
130,Eun 12_2898,Eun,2012b,15,1,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,K-WISC-III: FSIQ,Positive,Intelligence,Paired,4.75E-02,0.237436716,3
131,Eun 12_2898,Eun,2012b,15,2,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Information subtest,Positive,Language,Paired,-0.284588294,0.242562595,3
132,Eun 12_2898,Eun,2012b,15,3,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Similarities,Positive,Concept Formation & Reasoning,Paired,0.130656003,0.23840958,3
133,Eun 12_2898,Eun,2012b,15,4,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Arithmetic,Positive,Concept Formation & Reasoning,Paired,-0.191609215,0.239693501,3
134,Eun 12_2898,Eun,2012b,15,5,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Vocabulary,Positive,Language,Paired,8.57E-02,0.237771313,3
135,Eun 12_2898,Eun,2012b,15,6,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Comprehension,Positive,Concept Formation & Reasoning,Paired,-0.261959979,0.241764615,3
136,Eun 12_2898,Eun,2012b,15,7,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Digit span,Positive,Attention,Paired,0.130301266,0.238403513,3
137,Eun 12_2898,Eun,2012b,15,8,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Picture completion,Positive,Concept Formation & Reasoning,Paired,0.275362486,0.242229591,3
138,Eun 12_2898,Eun,2012b,15,9,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Picture arrangement,Positive,Concept Formation & Reasoning,Paired,4.10E-02,0.237399016,3
139,Eun 12_2898,Eun,2012b,15,10,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Block design,Positive,Psychomotor Functioning,Paired,-0.109190923,0.238071927,3
140,Eun 12_2898,Eun,2012b,15,11,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Picture assembly (reporting error: should be object assembly),Positive,Psychomotor Functioning,Paired,-0.123966774,0.238297927,3
141,Eun 12_2898,Eun,2012b,15,12,impaired Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Coding,Positive,Attention,Paired,3.40E-02,0.237364205,3
142,Eun 12_2898,Eun,2012b,15,13,normal Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,K-WISC-III: FSIQ,Positive,Intelligence,Paired,0.127134764,0.101151982,3
143,Eun 12_2898,Eun,2012b,15,14,normal Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Information subtest,Positive,Language,Paired,1.04E-02,0.100742073,3
144,Eun 12_2898,Eun,2012b,15,15,normal Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Similarities,Positive,Concept Formation & Reasoning,Paired,0.171991504,0.101493288,3
145,Eun 12_2898,Eun,2012b,15,16,normal Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Arithmetic,Positive,Concept Formation & Reasoning,Paired,2.48E-02,0.100755052,3
146,Eun 12_2898,Eun,2012b,15,17,normal Oxcarbazepine vs Baseline,Antiepileptic,Current + long-term,Low,Vocabulary,Positive,Language,Paired,,,3
